category,name,address,kana,latlng,tel,url,image
観光地,大阪城天守閣,大阪府大阪市中央区大阪城1-1,オオサカジョウテンシュカク,"34.687447,135.525822",06-6941-3044,http://www.osakacastle.net/,
観光地,府立上方演芸資料館（ワッハ上方）,大阪府大阪市中央区難波千日前12-7　ＹＥＳ・ＮＡＭＢＡビル,フリツカミガタエンゲイシリョウカン（ワッハカミガタ）,"34.6646249,135.5030578",06-6631-0884,http://www.wahha.or.jp/,
観光地,国立文楽劇場,大阪府大阪市中央区日本橋1-12-10,コクリツブンラクゲキジョウ,"34.6673609,135.5084558",06-6212-2531,,
観光地,ユニバーサル・スタジオ・ジャパン,大阪府大阪市此花区桜島2-1-33,ユニバーサル・スタジオ・ジャパン,"34.6660081,135.4316418",6465-3000,,
観光地,キッズプラザ大阪,大阪府大阪市北区扇町2-1-7,キッズプラザオオサカ,"34.7048421,135.5102224",06-6311-6601,http://www.kidsplaza.or.jp/,
観光地,海遊館,大阪府大阪市港区海岸通1-1-10,カイユウカン,"34.654564,135.4288107",06-6576-5501,http://www.kaiyukan.com/index.html,
観光地,海岸通ギャラリーCASO,大阪府大阪市港区海岸通2-7-23,カイガンドオリギャラリーカソ,"34.651072,135.4379998",06-6576-3633,http://www.cwo.zaq.ne.jp/caso/,
観光地,クラフトパーク,大阪府大阪市平野区長吉六反1-8-44,クラフトパーク,"34.610156,135.5792689",06-4302-9210,,
観光地,長居植物園,大阪府大阪市東住吉区長居公園内,ナガイショクブツエン,"34.6110029,135.5218423",06-6696-7117,http://www.ocsga.or.jp/n-syoku/index.html,
観光地,咲くやこの花館,大阪府大阪市鶴見区緑地公園２－１６３,サクヤコノハナカン,"34.710103,135.5736277",06-6912-0055,http://www.sakuyakonohana.com/,
観光地,天王寺動植物公園事務所,大阪府大阪市天王寺区茶臼山1-108,テンノウジドウショクブツコウエンジムショ,"34.651286,135.5103248",06-6771-8401,,
観光地,天王寺動物園,大阪府大阪市天王寺区茶臼山町1-108　天王寺公園内,テンノウジドウブツエン,"34.6507395,135.5076049",06-6771-8401 (天王寺動植物公園事務所),http://www.jazga.or.jp/tennoji,
図書館,大阪市立浪速図書館,大阪府大阪市浪速区敷津西1-5-23,オオサカシリツナニワトショカン,"34.6585779,135.4959688",06-6632-4946,http://www.oml.city.osaka.jp/info/59naniwa/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立住之江図書館,大阪府大阪市住之江区南加賀屋3-1-20,オオサカシリツスミノエトショカン,"34.606406,135.4749253",06-6683-2788,http://www.oml.city.osaka.jp/info/69suminoe/index.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立東淀川図書館,大阪府大阪市東淀川区東淡路1-4-53,オオサカシリツヒガシヨドガワトショカン,"34.7338612,135.5197557",06-6323-5476,http://www.oml.city.osaka.jp/info/62higashiyodogawa/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,府立中之島図書館,大阪府大阪市北区中之島1-2-10,フリツナカノシマトショカン,"34.6936888,135.5031528",06-6203-0474,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,市立大学学術情報総合センター,大阪府大阪市住吉区杉本3丁目3番138号,シリツダイガクガクジュツジョウホウソウゴウセンター,"34.5922109,135.5054691",06-6605-3240,http://www.media.osaka-cu.ac.jp/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立島之内図書館,大阪府大阪市中央区島之内2-12-31,オオサカシリツシマノウチトショカン,"34.671475,135.5078919",06-6211-3645,http://www.oml.city.osaka.jp/info/55shimanouchi/index.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立旭図書館,大阪府大阪市旭区中宮1-11-14,オオサカシリツアサヒトショカン,"34.720828,135.5424418",06-6955-0307,http://www.oml.city.osaka.jp/info/65asahi/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立此花図書館,大阪府大阪市此花区四貫島1-1-18,オオサカシリツコノハナトショカン,"34.6859331,135.4569527",6463-3463,http://www.oml.city.osaka.jp/info/54konohana/index.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立港図書館,大阪府大阪市港区弁天2-1-5,オオサカシリツミナトトショカン,"34.6677469,135.4585717",06-6576-2346,http://www.oml.city.osaka.jp/info/56minato/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立住吉図書館,大阪府大阪市住吉区南住吉3丁目15番57号,オオサカシリツスミヨシトショカン,"34.6048389,135.5004357",06-6606-4946,http://www.oml.city.osaka.jp/info/70sumiyoshi/index.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立阿倍野図書館,大阪府大阪市阿倍野区阿倍野筋4-19-118,オオサカシリツアベノトショカン,"34.641069,135.5105532",06-6656-1009,http://www.oml.city.osaka.jp/info/68abeno/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立北図書館,大阪府大阪市北区本庄東3-8-2,オオサカシリツキタトショカン,"34.7156859,135.508567",06-6375-0410,http://www.oml.city.osaka.jp/info/51kita/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,日本ライトハウス情報文化センター,大阪府大阪市西区江戸堀1-13-2,ニッポンライトハウスジョウホウブンカセンター,"34.6919749,135.4960139",06-6441-0015,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市公文書館,大阪府大阪市西区北堀江4-3-14,オオサカシコウブンショカン,"34.6736001,135.4858203",06-6534-1662,http://www.city.osaka.lg.jp/somu/page/0000003759.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立中央図書館,大阪府大阪市西区北堀江4-3-2,オオサカシリツチュウオウトショカン,"34.673961,135.4859692",06-6539-3300,http://www.oml.city.osaka.jp/info/10chuo/index.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立平野図書館,大阪府大阪市平野区平野東1-8-2,オオサカシリツヒラノトショカン,"34.6244109,135.5593",06-6793-0881,http://www.oml.city.osaka.jp/info/72hirano/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立淀川図書館,大阪府大阪市淀川区新北野1-10-14,オオサカシリツヨドガワトショカン,"34.7160972,135.4811527",06-6305-2346,http://www.oml.city.osaka.jp/riyou/61yodogawa.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立東住吉図書館,大阪府大阪市東住吉区東田辺2-11-28,オオサカシリツヒガシスミヨシトショカン,"34.620514,135.527503",06-6699-7000,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立東成図書館,大阪府大阪市東成区大今里西3丁目2番17号,オオサカシリツヒガシナリトショカン,"34.6681847,135.5412311",06-6972-0727,http://www.oml.city.osaka.jp/info/63higashinari/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立福島図書館,大阪府大阪市福島区吉野3-17-23（区民センター3階）,オオサカシリツフクシマトショカン,"34.6913921,135.4731311",06-6468-2336,http://www.oml.city.osaka.jp/info/53fukushima/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立西淀川図書館,大阪府大阪市西淀川区御幣島1丁目2番10号,オオサカシリツニシヨドガワトショカン,"34.7111331,135.4561112",06-6474-7900,http://www.oml.city.osaka.jp/info/60nishiyodogawa/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立大正図書館,大阪府大阪市大正区千島2-6-15,オオサカシリツタイショウトショカン,"34.6509919,135.4720673",06-6552-1116,http://www.oml.city.osaka.jp/info/57taisho/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立鶴見図書館,大阪府大阪市鶴見区横堤5-3-15,オオサカシリツツルミトショカン,"34.704533,135.5735138",06-6913-0772,http://www.oml.city.osaka.jp/info/67tsurumi/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立天王寺図書館,大阪府大阪市天王寺区上之宮町4-47,オオサカシリツテンノウジトショカン,"34.6614892,135.5220693",06-6771-2840,http://www.oml.city.osaka.jp/info/58tennoji/index.html,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立生野図書館,大阪府大阪市生野区勝山南4丁目7番11号,オオサカシリツイクノトショカン,"34.653167,135.5397583",06-6717-2381,http://www.oml.city.osaka.jp/info/64ikuno/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立西成図書館,大阪府大阪市西成区岸里1丁目1番50号,オオサカシリツニシナリトショカン,"34.6344684,135.4948854",06-6659-2346,http://www.oml.city.osaka.jp/info/73nishinari/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立都島図書館,大阪府大阪市都島区中野町2-16-25,オオサカシリツミヤコジマトショカン,"34.7008862,135.5277813",06-6354-3229,http://www.oml.city.osaka.jp/info/52miyakojima/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
図書館,大阪市立城東図書館,大阪府大阪市城東区中央３丁目５－４５,オオサカシリツジョウトウトショカン,"34.703183,135.544424",06-6933-0350,http://www.oml.city.osaka.lg.jp/?page_id=141,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/library.jpg?raw=true
博物館,大阪科学技術館,大阪府大阪市西区靱本町1-8-4,オオサカカガクギジュツカン,"34.6864329,135.4961891",06-6441-0915,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/provetas.jpg?raw=true
博物館,住まいのミュージアム「大阪くらしの今昔館」,大阪府大阪市北区天神橋6-4-20,スマイノミュージアム「オオサカクラシノコンジャクカン」,"34.7102359,135.5116668",06-6242-1170,http://konjyakukan.com/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/provetas.jpg?raw=true
博物館,大阪歴史博物館,大阪府大阪市中央区大手前4-1-32,オオサカレキシハクブツカン,"34.6825581,135.5207171",06-6946-5728,http://www.mus-his.city.osaka.jp/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/provetas.jpg?raw=true
博物館,下水道科学館,大阪府大阪市此花区高見1-2-53,ゲスイドウカガクカン,"34.6935249,135.462478",6466-3170,http://www.city-osaka-sewerage-museum.or.jp/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/provetas.jpg?raw=true
博物館,大阪市立科学館,大阪府大阪市北区中之島4-2-1,オオサカシリツカガクカン,"34.6912721,135.491506",06-6444-5656,http://www.sci-museum.jp/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/provetas.jpg?raw=true
博物館,造幣博物館,大阪府大阪市北区天満1-1-79,ゾウヘイハクブツカン,"34.6959002,135.5216813",06-6351-8509,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/provetas.jpg?raw=true
博物館,日本工芸館,大阪府大阪市浪速区難波中3-7-6,ニホンコウゲイカン,"34.661133,135.4986078",06-6641-6309,http://www.nihon-kogeikan.or.jp/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/provetas.jpg?raw=true
博物館,大阪人権博物館（リバティおおさか）,大阪府大阪市浪速区浪速西3-6-36,オオサカジンケンハクブツカン（リバティオオサカ）,"34.6545219,135.4864502",06-6561-5891,http://www.liberty.or.jp/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/provetas.jpg?raw=true
博物館,自然史博物館,大阪府大阪市東住吉区長居公園内,シゼンシハクブツカン,"34.610264,135.5223247",06-6697-6221,http://www.mus-nh.city.osaka.jp/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/provetas.jpg?raw=true
博物館,深江郷土資料館,大阪府大阪市東成区深江南3-16-14,フカエキョウドシリョウカン,"34.6699161,135.5609237",06-6977-5555,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/provetas.jpg?raw=true
美術館,国立国際美術館,大阪府大阪市北区中之島4-2-55,コクリツコクサイビジュツカン,"34.691764,135.4921581",06-6447-4680,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/museum.jpg?raw=true
美術館,府立現代美術センター,大阪府大阪市中央区大手前3-1-43　大阪府新別館北館・南館,フリツゲンダイビジュツセンター,"34.683842,135.5182472",06-4790-8520,http://www.osaka-art.jp/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/museum.jpg?raw=true
美術館,上方浮世絵館,大阪府大阪市中央区難波1-6-4,カミガタウキヨエカン,"34.6679531,135.5021921",06-6211-0303,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/museum.jpg?raw=true
美術館,湯木美術館,大阪府大阪市中央区平野町3-3-9,ユキビジュツカン,"34.6875168,135.5022467",06-6203-0188,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/museum.jpg?raw=true
美術館,東洋陶磁美術館,大阪府大阪市北区中之島1-1-26,トウヨウトウジビジュツカン,"34.693475,135.5053223",06-6223-0055,http://www.moco.or.jp/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/museum.jpg?raw=true
美術館,藤田美術館,大阪府大阪市都島区網島町10-32,フジタビジュツカン,"34.6950471,135.5250392",06-6351-0852,,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/museum.jpg?raw=true
美術館,大阪市立美術館,大阪府大阪市天王寺区茶臼山1-82,オオサカシリツビジュツカン,"34.650142,135.510442",06-6771-4874,http://www.city.osaka.lg.jp/museum/,https://github.com/TanakaMidnight/glide_hands-on/blob/main/images/museum.jpg?raw=true
